CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM
공원,98,POI107,응봉산,Eungbongsan
공원,99,POI108,이촌한강공원,Ichon Hangang Park
공원,100,POI109,잠실종합운동장,Jamsil (Seoul) Sports Complex
공원,101,POI110,잠실한강공원,Jamsil Hangang Park
공원,102,POI111,잠원한강공원,Jamwon Hangang Park
공원,103,POI112,청계산,Cheonggyesan
발달상권,104,POI114,북창동 먹자골목,Bukchang-dong food alley
발달상권,105,POI115,남대문시장,Namdaemun Market
발달상권,106,POI116,익선동,Ikseon-dong
인구밀집지역,107,POI117,신정네거리역,Shinjeongnegeori Station
인구밀집지역,108,POI118,잠실새내역,Jamsil Saenae Station
인구밀집지역,109,POI119,잠실역,Jamsil Station
발달상권,110,POI120,잠실롯데타워·석촌호수,Jamsil Lotte Tower·SeokchonhosuLake
발달상권,111,POI121,송리단길·호수단길,Songridan-gil·Hosudan-gil
발달상권,112,POI122,신촌 스타광장,Shinchon Star Plaza
공원,113,POI123,보라매공원,Boramae Park
공원,114,POI124,서대문독립공원,Seodaemun Independence Park
공원,115,POI125,안양천,Anyangcheon River
공원,116,POI126,여의서로,Yeouiseoro
공원,117,POI127,올림픽공원,Olympic Park
공원,118,POI128,홍제폭포,Hongje Waterfall
공원,119,POI129,송현녹지광장,Songhyeon Green Plaza
인구밀집지역,120,POI130,시의회 앞,City Council
인구밀집지역,121,POI131,숭례문,Sungnyemun Gate
